Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude
"San Antonio, Pasig","42,157,000",2,2,114,14.588377,121.059897
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"Pinagbuhatan, Pasig","5,008,864",2,1,37,14.555535,121.090095
"San Antonio, Pasig","27,332,000",1,1,70,14.588377,121.059897
"San Antonio, Pasig","27,144,000",1,1,70,14.588377,121.059897
"Ortigas CBD, Pasig","11,267,200",1,1,52,14.583771,121.059675
"San Antonio, Pasig","26,774,000",1,1,74,14.588377,121.059897
"San Antonio, Pasig","45,954,000",2,2,114,14.588377,121.059897
"San Antonio, Pasig","27,462,000",1,1,70,14.588377,121.059897
"San Antonio, Pasig","26,708,000",1,1,70,14.588377,121.059897
"Oranbo, Pasig","52,075,000",3,3,147,14.575822,121.064324
"Oranbo, Pasig","52,075,000",3,3,147,14.575822,121.064324
"Oranbo, Pasig","35,996,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","13,108,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","12,488,000",1,1,58,14.583771,121.059675
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,166,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,054,400",1,1,47,14.583771,121.059675
"Oranbo, Pasig","31,971,000",2,2,104,14.575822,121.064324
"Oranbo, Pasig","36,157,000",2,2,106,14.575822,121.064324
"Oranbo, Pasig","32,474,000",2,2,104,14.575822,121.064324
